s t r a i n   m o d u l u s   s t r e s s _ n o r m a l
0 0
0.01 2.0278 2.0278
0.02 8.1104 8.1104
0.03 18.246 18.246
0.04 32.432 32.432
0.05 50.664 50.664
0.06 72.936 72.936
0.07 99.241 99.241
0.08 129.57 129.57
0.09 163.92 163.92
0.1 202.28 202.28
0.11 244.63 244.63
0.12 290.96 290.96
0.13 341.26 341.26
0.14 395.51 395.51
0.15 453.71 453.71
0.16 515.82 515.82
0.17 581.84 581.84
0.18 651.74 651.74
0.19 725.5 725.5
0.2 803.1 803.1
0.21 884.53 884.53
0.22 969.74 969.74
0.23 1058.7 1058.7
0.24 1151.5 1151.5
0.25 1247.9 1247.9
0.26 1348.1 1348.1
0.27 1451.9 1451.9
0.28 1559.3 1559.3
0.29 1670.4 1670.4
0.3 1785 1785
0.31 1903.1 1903.1
0.32 2024.8 2024.8
0.33 2149.9 2149.9
0.34 2278.5 2278.5
0.35 2410.5 2410.5
0.36 2545.9 2545.9
0.37 2684.5 2684.5
0.38 2826.5 2826.5
0.39 2971.8 2971.8
0.4 3120.2 3120.2
0.41 3271.9 3271.9
0.42 3426.7 3426.7
0.43 3584.6 3584.6
0.44 3745.5 3745.5
0.45 3909.5 3909.5
0.46 4076.4 4076.4
0.47 4246.3 4246.3
0.48 4419.1 4419.1
0.49 4594.8 4594.8
0.5 4773.2 4773.2
0.51 4954.4 4954.4
0.52 5138.4 5138.4
0.53 5325 5325
0.54 5514.2 5514.2
0.55 5706.1 5706.1
0.56 5900.5 5900.5
0.57 6097.4 6097.4
0.58 6297 6297
0.59 6499.2 6499.2
0.6 6704.1 6704.1
0.61 6911.5 6911.5
0.62 7121.4 7121.4
0.63 7333.9 7333.9
0.64 7548.8 7548.8
0.65 7766.1 7766.1
0.66 7985.8 7985.8
0.67 8207.9 8207.9
0.68 8432.3 8432.3
0.69 8659 8659
0.7 8888 8888
0.71 9119.2 9119.2
0.72 9352.5 9352.5
0.73 9588 9588
0.74 9825.6 9825.6
0.75 10065 10065
0.76 10307 10307
0.77 10551 10551
0.78 10796 10796
0.79 11044 11044
0.8 11294 11294
0.81 11545 11545
0.82 11798 11798
0.83 12053 12053
0.84 12310 12310
0.85 12569 12569
0.86 12829 12829
0.87 13091 13091
0.88 13354 13354
0.89 13619 13619
0.9 13886 13886
0.91 14154 14154
0.92 14424 14424
0.93 14695 14695
0.94 14968 14968
0.95 15242 15242
0.96 15518 15518
0.97 15795 15795
0.98 16073 16073
0.99 16352 16352
1 16633 16633
