s t r a i n   m o d u l u s     s t r e s s _ n o r m a l
0 0 
0.01 687.91 7.7084
0.02 1064.1 22.176
0.03 1242.2 37.936
0.04 1357.5 54.586
0.05 1444.2 72.011
0.06 1515.5 90.182
0.07 1577.9 109.1
0.08 1634.8 128.78
0.09 1688.3 149.21
0.1 1739.7 170.4
0.11 1789.7 192.35
0.12 1838.9 215.03
0.13 1887.8 238.45
0.14 1936.7 262.59
0.15 1985.6 287.44
0.16 2034.9 312.99
0.17 2084.6 339.22
0.18 2134.9 366.12
0.19 2185.7 393.68
0.2 2237.3 421.9
0.21 2289.6 450.76
0.22 2342.7 480.26
0.23 2396.6 510.39
0.24 2451.4 541.14
0.25 2507.1 572.54
0.26 2563.7 604.56
0.27 2621.3 637.24
0.28 2679.9 670.57
0.29 2739.5 704.58
0.3 2800.3 739.28
0.31 2862.1 774.7
0.32 2925.2 810.86
0.33 2989.4 847.78
0.34 3054.9 885.5
0.35 3121.6 924.05
0.36 3189.8 963.45
0.37 3259.3 1003.7
0.38 3330.2 1045
0.39 3402.6 1087.1
0.4 3476.6 1130.3
0.41 3552.1 1174.5
0.42 3629.2 1219.7
0.43 3708.1 1266.1
0.44 3788.6 1313.6
0.45 3871 1362.3
0.46 3955.2 1412.2
0.47 4041.3 1463.4
0.48 4129.4 1516
0.49 4219.5 1569.9
0.5 4311.7 1625.2
0.51 4406.1 1682
0.52 4502.7 1740.4
0.53 4601.7 1800.5
0.54 4703 1862.2
0.55 4806.9 1925.7
0.56 4913.3 1991.1
0.57 5022.4 2058.5
0.58 5134.3 2128
0.59 5249.1 2199.7
0.6 5366.9 2273.8
0.61 5487.9 2350.3
0.62 5612.2 2429.5
0.63 5739.9 2511.6
0.64 5871.3 2596.6
0.65 6006.6 2684.9
0.66 6145.8 2776.7
0.67 6289.2 2872.1
0.68 6437 2971.4
0.69 6589.5 3074.9
0.7 6746.8 3182.7
0.71 6909.2 3295
0.72 7076.8 3412.1
0.73 7249.9 3534.1
0.74 7428.6 3661.2
0.75 7613.1 3793.4
0.76 7803.6 3930.8
0.77 8000.2 4073.5
0.78 8203.1 4221.6
0.79 8412.4 4375.1
0.8 8628.3 4534.1
0.81 8851.1 4699
0.82 9080.9 4869.9
0.83 9318.2 5047.3
0.84 9563.3 5231.8
0.85 9816.7 5424
0.86 10079 5624.7
0.87 10351 5834.9
0.88 10633 6055.6
0.89 10926 6287.6
0.9 11231 6532
0.91 11548 6789.4
0.92 11878 7060.1
0.93 12221 7344.2
0.94 12578 7641.3
0.95 12947 7950.5
0.96 13329 8270.7
0.97 13723 8600.6
0.98 14130 8938.7
0.99 14547 9284.1
1 14976 9635.9
